Population:,North Fork Stillaguamish Chinook,,,,,,,FR Method:,for mixed fishery: PSAfallfing8/1/12.correctionfactor8/1/12.; STLfallfing10/24/16;regression; for mature fishery: STLfallfing10/24/16; regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/06,INPUT DATA for Dynamics Model,,,data range ok,,,,Age Method:,Both BY and CY age distribution allowed to vary. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOD YEARS,,Analysis range,,For gamma a and b parameter simulation,,,,ppM:,none,,use annual age distr.,,"Bold blue values may be changed manually in Dynamics Model, do not have to come from A&P Table",,,,,,,,,,,,,,,,,,,,,,,,,,,,
beginning BY year,,1974,1974,1990,1974,1974,,QET/critical:,63,300,,,"Green values must be changed in A&P Table, not in Dynamics Model",,,,,,,,,,,,,,,,,,,,,,,,,,,,
end BY year,,2012,2012,2000,1987,2012,,Depensation:,300,no,use all years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1. ,Input data for dynamic stock recruit model. (italic indicates average or interpolated value.),,,,,,,,,,,,3099,1646,608,39,,initial population size is average of BY 2010-2012,,,,,,,,,,,,,,,,,,,,,,,
ok,no,,,"Marine Survival Index, HCffCyc",,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Check links to col E and G!,,,,Age 2,Age 3,Age 4,Age 5,,Age 2,Age 3,Age 3,Age 5,,Age 2,Age 3,Age 4,Age 5,,Age 2,Age 3,Age 3,Age 5,,,,,,,,,,,,,,,
Brood Year,total adjusted spawners for brood (age 3-5),total wild contribution to BY spawners,brood yr affected by marine index,Marine Survival Index,brood yr affected by FW index,Freshwater Winter Discharge,Brood Year,Mixed Maturity Fishery Fishing Rate,,,,.,Mature Fishery Fishing Rate,,,,.,Maturation Rate,,,,.,"Postfishing prespawning mortality rate (e.g., interdam loss, strayng to hatchery, broodstock take)",,,,.,AEQ Recruits,,Age 2,Age 3,Age 4,Age 5,Age 2,Age 3,Age 4,Age 5,Age 2,Age 3,Age 4,Age 5
2015,HE,500,,0.610,-0.340,-0.142,,2,3,4,5,,2,3,4,5,,2,3,4,5,,2,3,4,5,,,,Age Data  Freshwater Age 0,,,,"Age Data, Freshwater Age 1",,,,Age Data Freshwater Ages 1 & 2,,,
Source->,1,,,NPSffAve,,PS cycle asym,,PSAfallfing8/1/12.correctionfactor8/1/12.; STLfallfing10/24/16;regression,,,,,STLfallfing10/24/16; regression,,,,,spawning age data,,,,,none,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,1965,8.80,1965,15000,1965,0.185,0.469,0.512,0.256,,0.573,0.261,0.268,0.166,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1966,,,1966,9.00,1966,22200,1966,0.187,0.474,0.517,0.257,,0.581,0.265,0.272,0.168,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1967,,,1967,9.10,1967,20500,1967,0.184,0.466,0.509,0.255,,0.568,0.259,0.265,0.165,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1968,,,1968,9.12,1968,26300,1968,0.176,0.449,0.492,0.250,,0.538,0.246,0.252,0.160,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1969,,,1969,9.03,1969,20000,1969,0.186,0.471,0.514,0.256,,0.576,0.262,0.269,0.167,,,,,1.00,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1970,,,1970,8.86,1970,24000,1970,0.182,0.462,0.505,0.254,,0.561,0.256,0.262,0.164,,,,0.86,1.00,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1971,,,1971,8.60,1971,28400,1971,0.122,0.162,0.369,0.293,,0.000,0.053,0.121,0.023,,0.03,0.16,0.82,1.00,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1972,,,1972,8.24,1972,27800,1972,0.110,0.499,0.559,0.165,,0.325,0.169,0.149,0.029,,0.01,0.11,0.91,1.00,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1973,,,1973,7.46,1973,23000,1973,0.228,0.540,0.400,0.245,,0.149,0.115,0.066,0.016,,0.01,0.24,0.89,1.00,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
1974,"1,013","1,013",1974,9.16,1974,26500,1974,0.179,0.375,0.485,0.164,,0.732,0.181,0.168,0.037,,0.06,0.21,0.91,1.00,,0.00,0.00,0.00,0.00,,"5,234",,,,,,,,,,,,,
1975,"1,198","1,198",1975,3.61,1975,29700,1975,0.187,0.499,0.402,0.213,,0.631,0.156,0.133,0.029,,0.04,0.23,0.89,1.00,,0.00,0.00,0.00,0.00,,"4,936",,,,,,,,,,,,,
1976,"2,140","2,140",1976,10.25,1976,23500,1976,0.194,0.489,0.531,0.261,,0.605,0.275,0.283,0.172,,0.03,0.17,0.89,1.00,,0.00,0.00,0.00,0.00,,"5,804",,,,,,,,,,,,,
1977,"1,475","1,475",1977,5.36,1977,29200,1977,0.199,0.501,0.543,0.264,,0.625,0.284,0.293,0.176,,0.02,0.16,0.87,1.00,,0.00,0.00,0.00,0.00,,"3,885",,,,,,,,,,,,,
1978,"1,232","1,232",1978,5.34,1978,17100,1978,0.209,0.450,0.498,0.202,,0.747,0.122,0.118,0.032,,0.04,0.16,0.91,1.00,,0.00,0.00,0.00,0.00,,"3,583",,,,,,,,,,,,,
1979,"1,042","1,042",1979,7.56,1979,30400,1979,0.145,0.409,0.475,0.240,,0.686,0.161,0.113,0.032,,0.04,0.22,0.87,1.00,,0.00,0.00,0.00,0.00,,"2,428",,,,,,,,,,,,,
1980,821,821,1980,0.15,1980,31700,1980,0.266,0.679,0.818,0.500,,0.000,0.850,0.850,0.850,,0.00,0.07,1.00,1.00,,0.00,0.00,0.00,0.00,,919,,,,,,,,,,,,,
1981,630,630,1981,0.28,1981,32800,1981,0.214,0.737,0.667,0.500,,0.850,0.850,0.850,0.850,,0.00,0.06,0.83,1.00,,0.00,0.00,0.00,0.00,,"139,189",,,,,,,,,,,,,
1982,773,773,1982,0.85,1982,36300,1982,0.284,0.528,0.788,0.750,,0.850,0.850,0.850,0.000,,0.00,0.07,0.84,1.00,,0.00,0.00,0.00,0.00,,"66,985",,0,3,13,3,0,0,0,0,0,3,13,3
1983,387,387,1983,0.71,1983,31800,1983,0.277,0.551,0.474,0.500,,0.000,0.000,0.550,0.850,,0.00,0.06,0.70,1.00,,0.00,0.00,0.00,0.00,,"15,520",,0,3,9,1,0,0,0,0,0,3,9,1
1984,374,374,1984,2.63,1984,18500,1984,0.178,0.370,0.491,0.159,,0.439,0.077,0.047,0.031,,0.03,0.20,0.88,1.00,,0.00,0.00,0.00,0.00,,"1,792",,0,1,2,1,0,0,0,0,0,1,2,1
1985,"1,409","1,409",1985,0.48,1985,30900,1985,0.098,0.316,0.360,0.286,,0.583,0.117,0.110,0.023,,0.00,0.20,0.89,1.00,,0.00,0.00,0.00,0.00,,"1,370",,0,18,64,0,0,0,6,0,0,18,70,0
1986,"1,277",980,1986,2.83,1986,29900,1986,0.228,0.571,0.418,0.000,,0.850,0.226,0.111,0.000,,0.06,0.20,0.83,1.00,,0.00,0.00,0.00,0.00,,"2,517",,,,,,,,,,,,,
1987,"1,321","1,065",1987,1.18,1987,20800,1987,0.086,0.263,0.118,0.000,,0.850,0.067,0.017,0.048,,0.11,0.15,0.92,1.00,,0.00,0.00,0.00,0.00,,"2,022",,0,14,55,11,0,0,2,0,0,14,57,11
1988,992,506,1988,1.13,1988,28900,1988,0.131,0.319,0.563,0.000,,0.850,0.201,0.288,0.000,,0.07,0.21,0.98,1.00,,0.00,0.00,0.00,0.00,,"2,307",,,,,,,,,,,,,
1989,"1,070",483,1989,1.18,1989,32100,1989,0.166,0.520,0.589,0.000,,0.850,0.078,0.014,0.000,,0.07,0.27,0.90,1.00,,0.00,0.00,0.00,0.00,,"1,855",,5,12,8,2,0,0,0,1,5,12,8,3
1990,"1,138",434,1990,2.57,1990,36700,1990,0.210,0.418,0.296,0.538,,0.821,0.040,0.000,0.000,,0.11,0.26,0.78,1.00,,0.00,0.00,0.00,0.00,,"2,614",,8,47,58,7,0,0,2,0,8,47,60,7
1991,"1,947",978,1991,0.40,1991,21400,1991,0.057,0.210,0.472,0.000,,0.000,0.233,0.023,0.000,,0.01,0.23,0.84,1.00,,0.00,0.00,0.00,0.00,,"1,095",,5,46,140,10,0,0,0,0,5,46,140,10
1992,901,460,1992,0.53,1992,23400,1992,0.064,0.219,0.279,0.000,,0.000,0.000,0.000,0.000,,0.02,0.18,0.98,1.00,,0.00,0.00,0.00,0.00,,"1,141",,23,67,95,20,0,1,1,0,23,68,96,20
1993,994,408,1993,1.00,1993,17700,1993,0.149,0.253,0.318,0.034,,0.089,0.009,0.000,0.000,,0.03,0.44,0.77,1.00,,0.00,0.00,0.00,0.00,,"1,449",,5,101,56,3,0,0,0,0,5,101,56,3
1994,"1,057",491,1994,1.31,1994,32300,1994,0.076,0.174,0.159,0.112,,0.000,0.103,0.036,0.000,,0.03,0.13,0.86,1.00,,0.00,0.00,0.00,0.00,,"1,636",,16,68,155,7,0,0,0,0,16,68,155,7
1995,"1,060",437,1995,0.55,1995,34600,1995,0.097,0.155,0.077,0.714,,0.000,0.000,0.000,0.000,,0.01,0.29,0.68,1.00,,0.00,0.00,0.00,0.00,,389,,3,16,11,3,0,0,0,0,3,16,11,3
1996,"1,606",852,1996,0.63,1996,34400,1996,0.042,0.104,0.143,0.390,,0.048,0.008,0.001,0.000,,0.02,0.23,0.76,1.00,,0.00,0.00,0.00,0.00,,"1,544",,6,38,39,4,0,0,0,0,6,38,39,4
1997,"1,504",383,1997,0.64,1997,29300,1997,0.031,0.085,0.242,0.000,,0.000,0.000,0.022,0.000,,0.00,0.14,0.91,1.00,,0.00,0.00,0.00,0.00,,"1,970",,3,61,85,3,0,0,0,0,3,61,85,3
1998,"1,956",831,1998,1.44,1998,29400,1998,0.024,0.111,0.204,0.462,,0.000,0.022,0.000,0.000,,0.02,0.16,0.85,1.00,,0.00,0.00,0.00,0.00,,"1,494",,7,18,126,11,0,0,0,0,7,18,126,11
1999,"1,436",542,1999,1.05,1999,27500,1999,0.071,0.174,0.311,0.173,,0.237,0.068,0.089,0.017,,0.01,0.24,0.81,1.00,,0.00,0.00,0.00,0.00,,"2,866",,7,196,67,50,0,0,0,0,7,196,67,50
2000,"2,074",892,2000,0.38,2000,10300,2000,0.066,0.149,0.376,0.172,,0.285,0.084,0.081,0.012,,0.00,0.00,0.90,1.00,,0.00,0.00,0.00,0.00,,"2,307",,24,158,332,8,0,0,0,0,24,158,332,8
2001,"1,729","1,232",2001,0.63,2001,33500,2001,0.069,0.223,0.399,0.248,,0.360,0.079,0.062,0.022,,0.00,0.37,1.00,1.00,,0.00,0.00,0.00,0.00,,"1,218",,10,79,324,35,0,0,0,0,10,79,324,35
2002,"2,007","1,286",2002,0.70,2002,25000,2002,0.038,0.174,0.190,0.000,,0.034,0.035,0.026,0.231,,0.05,0.21,1.00,1.00,,0.00,0.00,0.00,0.00,,"1,582",,3,4,16,5,0,0,0,0,3,4,16,5
2003,"1,307",801,2003,1.06,2003,44000,2003,0.036,0.184,0.305,0.850,,0.133,0.058,0.106,0.850,,0.00,0.02,0.05,1.00,,0.00,0.00,0.00,0.00,,"4,840",,0,10,13,2,0,0,0,0,0,10,13,2
2004,"1,912","1,368",2004,0.68,2004,39000,2004,0.036,0.264,0.148,0.000,,0.000,0.061,0.019,0.000,,0.15,0.24,0.93,1.00,,0.00,0.00,0.00,0.00,,"1,331",,3,9,25,4,0,0,0,0,3,9,25,4
2005,"1,363",573,2005,1.79,2005,20300,2005,0.068,0.145,0.174,0.000,,0.032,0.066,0.081,0.000,,0.05,0.50,0.89,1.00,,0.00,0.00,0.00,0.00,,"1,178",,2,53,55,17,0,0,0,0,2,53,55,17
2006,"1,612",739,2006,0.33,2006,39200,2006,0.018,0.169,0.027,0.000,,0.000,0.018,0.041,0.000,,0.00,0.25,1.00,1.00,,0.00,0.00,0.00,0.00,,585,,27,10,63,11,0,0,1,0,27,10,64,11
2007,870,251,2007,1.49,2007,18500,2007,0.052,0.197,0.186,0.000,,0.000,0.120,0.020,0.000,,0.02,0.27,0.86,1.00,,0.00,0.00,0.00,0.00,,797,,26,60,40,7,0,1,0,0,26,61,40,7
2008,"1,914",857,2008,0.83,2008,49400,2008,0.030,0.193,0.145,0.000,,0.125,0.075,0.013,0.333,,0.02,0.19,0.82,1.00,,0.00,0.00,0.00,0.00,,"1,365",,1,131,118,4,0,0,1,0,1,131,119,4
2009,"1,061",370,2009,1.05,2009,25000,2009,0.027,0.183,0.345,0.000,,0.023,0.030,0.189,0.000,,0.02,0.16,0.94,1.00,,0.00,0.00,0.00,0.00,,"2,302",,6,41,79,4,0,0,0,0,6,41,79,4
2010,"1,358",457,2010,1.51,2010,55100,2010,0.067,0.326,0.225,0.000,,0.000,0.178,0.213,0.111,,0.10,0.45,0.86,1.00,,0.00,0.00,0.00,0.00,,785,,5,22,41,13,0,0,0,0,5,22,41,13
2011,"1,345",459,2011,2.33,2011,29100,2011,0.142,0.234,0.239,0.000,,0.074,0.188,0.139,0.148,,0.02,0.28,0.88,1.00,,0.00,0.00,0.00,0.00,,689,,16,61,76,14,0,0,0,0,16,61,76,14
2012,"1,750",815,2012,3.16,2012,18400,2012,0.079,0.248,0.270,0.000,,0.000,0.132,0.180,0.086,,0.00,0.24,0.90,1.00,,0.00,0.00,0.00,0.00,,"1,915",,28,85,138,10,0,0,1,0,28,85,139,10
2013,"1,469",881,2013,3.98,2013,19600,2013,0.096,0.269,0.245,0.000,,0.025,0.166,0.177,0.115,,0.02,0.23,0.90,1.00,,0.00,0.00,0.00,0.00,,,,5,47,197,20,0,1,1,0,5,48,198,20
2014,721,221,2014,4.76,2014,26400,2014,0.105,0.250,0.251,0.000,,0.033,0.162,0.165,0.117,,,,,,,0.00,0.00,0.00,0.00,,,,3,29,28,13,0,1,0,0,3,30,28,13
2015,709,456,2015,5.50,2015,,2015,0.093,0.256,0.255,0.000,,0.019,0.153,0.174,0.106,,,,,,,0.00,0.00,0.00,0.00,,,,7,53,28,3,0,0,0,0,7,53,28,3
0,,,2016,6.20,2016,,2016,0.098,0.258,0.250,0.000,,0.026,0.160,0.172,0.113,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
0,,,,,,,2017,0.099,0.255,0.252,0.000,,0.026,0.159,0.171,0.112,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
